ParkName,State,partySize,RateType,Equipment
Mira River,NS ,2,Full,ST
Thomas Raddall,NS ,5,Full,Tents
Caribou Munroes,NS ,2,Senior,LT30ft
Rissers Beach,NS ,2,Senior,LT30ft
Rissers Beach,NS ,4,Full,Tents
Graves Island,NS ,2,Senior,LT20ft
Battery,NS ,2,Full,ST
Mira River,NS ,5,Full,ST
Thomas Raddall,QC ,1,Full,LT20ft
Porters Lake,NS ,2,Full,LT20ft
Valleyview,NS ,2,Full,ST
Laurie,QC ,4,Full,LT30ft
Dollar Lake,NB ,2,Full,ST
Laurie,ON ,2,Full,Tents
Porters Lake,NS ,2,Full,ST
Blomidon,ON ,2,Full,ST
Laurie,NS ,1,Full,ST
Mira River,NS ,2,Full,ST
Graves Island,ON ,1,Senior,ST
Graves Island,NS ,2,Full,ST
Cape Chignecto,NS ,2,Full,ST
Thomas Raddall,NS ,2,Full,Tents
Graves Island,NS ,2,Full,ST
Graves Island,NS ,2,Senior,LT30ft
Mira River,NS ,4,Full,LT40ft
Blomidon,NS ,4,Full,LT30ft
Whycocomagh,NS ,5,Full,LT20ft
Caribou Munroes,NS ,4,Full,LT40ft
Blomidon,NB ,2,Full,ST
Caribou Munroes,ON ,2,Full,ST
Blomidon,NB ,5,Full,LT30ft
Ellenwood Lake,NS ,2,Full,ST
Battery,NS ,2,Full,LT20ft
Porters Lake,QC ,4,Full,LT30ft
Rissers Beach,NB ,2,Full,ST
Mira River,NS ,4,Full,LT40ft
Blomidon,NS ,2,Full,ST
Cape Chignecto,ON ,2,Full,ST
Caribou Munroes,NS ,3,Senior,LT40ft
Caribou Munroes,NS ,6,Full,Tents
Graves Island,ON ,1,Full,ST
Laurie,NS ,1,Senior,ST
Smileys,NS ,4,Full,LT30ft
Caribou Munroes,BC ,2,Full,ST
Blomidon,NS ,2,Full,ST
Battery,QC ,2,Senior,LT30ft
Cape Chignecto,NS ,2,Full,ST
Smileys,NS ,2,Senior,LT20ft
Laurie,AB ,2,Senior,LT30ft
Rissers Beach,NS ,2,Senior,LT20ft
Five Islands,NS ,6,Full,Tents
Battery,NB ,2,Full,ST
Caribou Munroes,ON ,2,Full,ST
Rissers Beach,NS ,4,Full,LT20ft
Mira River,NS ,3,Full,Tents
Rissers Beach,NS ,5,Full,ST
Ellenwood Lake,NS ,5,Full,ST
Thomas Raddall,NS ,2,Full,LT30ft
Battery,PE ,3,Full,ST
Amherst Shore,NS ,3,Senior,LT20ft
Rissers Beach,NS ,4,Full,ST
Laurie,NS ,3,Full,LT40ft
Mira River,ON ,2,Senior,LT30ft
Mira River,NS ,2,Full,LT30ft
Battery,NS ,1,Full,ST
Mira River,NS ,4,Full,LT30ft
Thomas Raddall,NS ,2,Full,LT20ft
The Islands,NS ,2,Full,Tents
Caribou Munroes,QC ,4,Full,ST
Battery,NS ,2,Full,LT20ft
Five Islands,NB ,2,Full,ST
Laurie,NS ,5,Full,LT20ft
Blomidon,NS ,2,Full,ST
Dollar Lake,NS ,4,Full,ST
Salsman,NS ,4,Full,Tents
Whycocomagh,ON ,3,Senior,Tents
Graves Island,NS ,4,Senior,LT40ft
Graves Island,NS ,3,Full,LT30ft
Laurie,NS ,2,Full,ST
Battery,NS ,5,Full,LT30ft
Dollar Lake,NS ,2,Full,ST
Five Islands,NS ,2,Senior,LT30ft
Ellenwood Lake,NS ,4,Full,ST
Smileys,NS ,6,Full,ST
Dollar Lake,NS ,4,Full,ST
Cape Chignecto,NS ,1,Full,ST
Dollar Lake,NS ,2,Full,ST
Dollar Lake,NS ,4,Full,ST
Five Islands,QC ,2,Full,Tents
Cape Chignecto,NB ,4,Full,ST
Blomidon,NS ,4,Full,LT20ft
Blomidon,QC ,2,Full,LT40ft
The Islands,NS ,2,Full,ST
Graves Island,NS ,4,Full,ST
Porters Lake,NS ,2,Full,ST
Porters Lake,NS ,2,Full,LT30ft
Rissers Beach,NS ,2,Full,LT20ft
Rissers Beach,NS ,4,Full,ST
Dollar Lake,NS ,4,Full,LT20ft
Mira River,QC ,2,Full,LT30ft
Thomas Raddall,NS ,4,Full,LT30ft
Dollar Lake,NS ,4,Full,Tents
Mira River,QC ,2,Senior,ST
Rissers Beach,QC ,2,Full,ST
Laurie,NS ,8,Full,LT20ft
Dollar Lake,NS ,2,Full,ST
Blomidon,MB,2,Full,ST
Mira River,AB ,2,Full,LT30ft
Graves Island,QC ,2,Full,LT20ft
Porters Lake,ON ,3,Full,LT20ft
Graves Island,AB ,2,Full,ST
Blomidon,NS ,2,Full,LT20ft
Thomas Raddall,QC ,1,Full,ST
Amherst Shore,NS ,1,Full,ST
Porters Lake,NS ,6,Full,ST
Dollar Lake,NS ,5,Full,Tents
Rissers Beach,NS ,6,Full,LT20ft
Smileys,NB ,2,Full,LT20ft
Mira River,ON ,2,Senior,ST
Blomidon,ON ,1,Full,ST
Rissers Beach,ON ,1,Full,ST
Laurie,NS ,2,Full,LT30ft
Laurie,NS ,2,Full,LT30ft
Five Islands,NS ,2,Full,ST
Dollar Lake,NS ,2,Full,ST
Laurie,NS ,2,Full,LT40ft
Laurie,NS ,2,Full,LT40ft
Graves Island,NS ,2,Full,LT30ft
Blomidon,ON ,2,Senior,ST
Graves Island,QC ,2,Full,LT20ft
Amherst Shore,QC ,2,Full,ST
Porters Lake,NS ,4,Veteran,LT30ft
Thomas Raddall,NS ,3,Full,LT20ft
Caribou Munroes,NS ,2,Full,ST
Dollar Lake,NS ,2,Full,ST
Rissers Beach,NS ,2,Full,ST
Whycocomagh,AB ,1,Full,ST
